EDUC_LEVEL,FAM_NO,AREA,WT_CROP,WT_IR_YN,WT_WA_CN_YN,WT_WA_RC,WT_GW,WT_PS,WT_SY_YN,WT_CR_YL_KG,WT_VL_CC,WT_SM_ST,WT_CP_NI_MN,SM_CROP,SM_IR_YN,SM_IR_WA_Y,SM_IR_TC,SM_GW,SM_PS,SM_CR_YL_KG,SM_CP_NI_MN,SM_VL_CC,SM_SM_ST,SM_RAIN_YN,CSM_AGR_YN,FL_USE,CR_RT_YN,SOIL_PROB,CA_YN,CA_CNS,CA_US_YN,CA_SS,CA_US_DT,CA_CC_VUL,CA_CC_RISK,CA_CC_ADAP,CA_CC_IMP,CA_CC_SS,NDVI_CV,PRECIPITAT,TEMPERATUR
no-schooling,6,1,Wheat,yes,no,Medium,85,Powdery Mildew (Disease),No,2600,Medium vulnerable,Medium,17500,Sorghum,Yes,Based on crop water need,No,85,PUMAISE,3200,22000,Medium vulnerable,Medium,No,No,Selling in the market,Yes,Salinity,No,No finance,No idea,Winter,Never,Medium vulnerable,Heatwaves,Adjusting sowing date,Increased pests/diseases,Radio,48.06549519,101.5544112,1.944398237
primary,5,1,Wheat,yes,yes,Medium,86,Blight (Disease),No,1300,Medium vulnerable,Medium,8000,Maize,Yes,Based on experience,Yes,86,PYRALE,1500,8500,Medium vulnerable,Dry,No,No,Subsistence/domestic use,Yes,Salinity,No,Lack of machinery,Yes,Summer,Never,Medium vulnerable,Drought,Improving irrigation practices,Physical damage,Radio,59.68517311,108.1152226,1.986277543
primary,5,1,Fababean,yes,yes,Medium,80,Henbit (Weed),Yes,1500,Medium vulnerable,Medium,12000,Sorghum,Yes,Based on experience,Yes,80,HERBE A POUX,1700,12000,Medium vulnerable,Dry,No,Maybe,Selling in the market,Yes,Erosion,No,Lack of knowledge,No,Summer,Never,Medium vulnerable,Drought,Improving irrigation practices,Dust,TV,32.60693699,78.10062427,2.349685009
secondary,3,1,Wheat,yes,yes,Medium,95,Henbit (Weed),Yes,5000,Medium vulnerable,Medium,40000,Maize,Yes,Based on crop water need,Yes,95,PIGWEED,2500,21000,Medium vulnerable,Dry,Yes (Rarely),Yes,Selling in the market,Yes,Erosion,Yes(Rarely),Lack of machinery,Yes,Summer,Sometimes,Medium vulnerable,Drought,Improving irrigation practices,Dust,Through apps,34.87836522,78.10062427,2.349685009
no-schooling,5,1,Wheat,yes,no,Medium,90,Powdery Mildew (Disease),No,2500,Medium vulnerable,Medium,12000,Sorghum,Yes,Based on crop water need,No,85,PUMAISE,21500,23000,Medium vulnerable,Medium,No,No,Selling in the market,Yes,Salinity,No,No finance,No idea,Winter,Never,Medium vulnerable,Heatwaves,Adjusting sowing date,Increased pests/diseases,Radio,47.5934566,101.5544112,1.944398237
primary,2,3,Wheat,yes,yes,Medium,100,Rust (Disease),Yes,1600,Medium vulnerable,Medium,11000,Maize,Yes,Based on experience,Yes,100,PYRALE,2000,12000,Medium vulnerable,Dry,No,No,Subsistence/domestic use,Yes,Salinity,No,No finance,Yes,Summer,Never,Medium vulnerable,Drought,Improving irrigation practices,Dust,Newspaper,59.68517311,108.1152226,1.986277543
secondary,3,1,Lentil,yes,yes,Medium,100,Fusarium Wilt (Disease),Yes,3500,Medium vulnerable,Dry,25000,Maize,Yes,Based on experience,Yes,100,PUNAISE,2000,30000,Medium vulnerable,Dry,No,Yes,Subsistence/domestic use,Yes,Salinity,Yes(Rarely),No finance,Yes,Summer,Sometimes,Medium vulnerable,Drought,Improving irrigation practices,Dust,Through apps,59.91650939,108.1152226,1.986277543
primary,7,2,Rye,yes,yes,Medium,98,Henbit (Weed),Yes,2700,Medium vulnerable,Medium,13000,Maize,Yes,Based on experience,Yes,98,GAILLET GRATTERON,1800,14000,Highly vulnerable,Dry,No,Yes,Selling in the market,Yes,Erosion,Yes(Rarely),Lack of machinery,Yes,Summer,Never,Medium vulnerable,Drought,Improving irrigation practices,Dust,TV,50.50022377,78.10062427,2.349685009
no-schooling,8,1,Wheat,yes,no,Medium,90,Powdery Mildew (Disease),No,2500,Medium vulnerable,Medium,17500,Sorghum,Yes,Based on crop water need,No,90,PUMAISE,3300,19500,Medium vulnerable,Medium,No,No,Selling in the market,Yes,Salinity,No,No finance,No idea,Winter,Never,Medium vulnerable,Heatwaves,Adjusting sowing date,Increased pests/diseases,Radio,47.5934566,101.5544112,1.944398237
no-schooling,8,1,Fababean,yes,yes,Medium,100,Fusarium Wilt (Disease),No,800,Medium vulnerable,Medium,7000,Maize,Yes,Based on experience,Yes,100,PYRAL,1000,8000,Medium vulnerable,Dry,No,Yes,Subsistence/domestic use,Yes,Salinity,No,No finance,Yes,Summer,Never,Medium vulnerable,Drought,Drought-resistant varieties,Dust,TV,59.91650939,108.1152226,1.986277543
secondary,6,10,Barley,yes,yes,Medium,110,Henbit (Weed),Yes,4000,Medium vulnerable,Medium,19000,Sorghum,Yes,Based on crop water need,Yes,110,PIGWEED,4000,18000,Medium vulnerable,Dry,No,Yes,Selling in the market,Yes,Erosion,Yes(Rarely),Lack of machinery,Yes,Summer,Sometimes,Medium vulnerable,Drought,Improving irrigation practices,Dust,Through apps,36.46856454,78.10062427,2.349685009
primary,6,1,Wheat,yes,no,Medium,90,Powdery Mildew (Disease),No,2500,Medium vulnerable,Medium,15500,OIGNON,Yes,Based on crop water need,No,90,ACARIENS,28000,113500,Medium vulnerable,Medium,No,No,Selling in the market,Yes,Salinity,No,No finance,No idea,Winter,Never,Medium vulnerable,Heatwaves,Adjusting sowing date,Increased pests/diseases,Radio,47.5934566,101.5544112,1.944398237
primary,2,2,Fababean,yes,yes,Medium,109,Fusarium Wilt (Disease),No,1200,Medium vulnerable,Medium,8500,Maize,Yes,Based on experience,Yes,109,PYRALE,1200,12000,Medium vulnerable,Dry,No,No,Subsistence/domestic use,Yes,Salinity,No,No finance,Yes,Summer,Never,Medium vulnerable,Drought,Improving irrigation practices,Dust,TV,59.91650939,108.1152226,1.986277543
primary,7,2,Fababean,yes,yes,High,90,Shepherd's Purse (Weed),Yes,1400,Medium vulnerable,Medium,12000,Maize,Yes,Based on experience,Yes,90,GAILLET GRATTERON,1700,16000,Medium vulnerable,Dry,No,No,Selling in the market,Yes,Erosion,No,Lack of knowledge,No idea,Summer,Never,Medium vulnerable,Drought,Improving irrigation practices,Dust,TV,31.4687731,89.05209755,2.323252029
no-schooling,11,1,Wheat,yes,no,Medium,85,Powdery Mildew (Disease),No,2300,Medium vulnerable,Medium,15000,Sorghum,Yes,Based on crop water need,No,85,ACARIENS,3200,23000,Medium vulnerable,Medium,No,No,Selling in the market,Yes,Salinity,No,No finance,No idea,Winter,Never,Medium vulnerable,Heatwaves,Adjusting sowing date,Increased pests/diseases,Radio,47.5934566,101.5544112,1.944398237
no-schooling,5,2,Wheat,yes,yes,Medium,87,Shepherd's Purse (Weed),Yes,3000,Medium vulnerable,Medium,28000,Maize,Yes,Based on experience,Yes,87,PIGWEED,1700,13000,Medium vulnerable,Dry,No,Maybe,Selling in the market,Yes,Erosion,No,Lack of knowledge,No idea,Summer,Never,Medium vulnerable,Drought,Improving irrigation practices,Dust,TV,21.16521714,89.05209755,2.323252029
primary,1,1,Wheat,yes,yes,Medium,100,Rust (Disease),No,1200,Medium vulnerable,Medium,8500,Sorghum,Yes,Based on experience,Yes,100,PYRALE,1200,7000,Medium vulnerable,Dry,No,Maybe,Selling in the market,Yes,Salinity,No,No finance,Yes,Summer,Never,Medium vulnerable,Drought,Improving irrigation practices,Dust,TV,59.91650939,108.1152226,1.986277543
secondary,5,1,Wheat,yes,yes,Medium,88,Henbit (Weed),Yes,5000,Medium vulnerable,Medium,40000,Maize,Yes,Based on crop water need,Yes,88,PIGWEED,2400,19000,Medium vulnerable,Dry,No,Yes,Selling in the market,Yes,Erosion,Yes(Rarely),Lack of machinery,Yes,Summer,Sometimes,Medium vulnerable,Drought,Improving irrigation practices,Dust,Through apps,29.4628627,89.05209755,2.323252029
primary,3,1,Wheat,yes,yes,Medium,100,Leaf miners (Pest),No,2000,Medium vulnerable,Medium,7000,Maize,Yes,Based on experience,Yes,100,PYRALE,1500,8000,Medium vulnerable,Dry,No,Maybe,Subsistence/domestic use,Yes,Salinity,No,Lack of machinery,Yes,Summer,Never,Medium vulnerable,Drought,Improving irrigation practices,Dust,From mosque,59.91650939,108.1152226,1.986277543
secondary,6,15,Wheat,yes,yes,Medium,90,Henbit (Weed),Yes,5000,Medium vulnerable,Medium,40000,Maize,Yes,Based on crop water need,Yes,90,PIGWEED,2000,18000,Medium vulnerable,Dry,No,Yes,Subsistence/domestic use,Yes,Erosion,No,Lack of machinery,Yes,Summer,Sometimes,Medium vulnerable,Drought,Improving irrigation practices,Dust,Through apps,58.92619166,94.42613591,2.152072568
primary,3,1,Wheat,yes,yes,Medium,100,Rust (Disease),No,1000,Medium vulnerable,Dry,7000,Maize,Yes,Based on experience,Yes,500,PYRALE,1000,7000,Medium vulnerable,Dry,No,No,Subsistence/domestic use,Yes,Salinity,No,No finance,Yes,Summer,Often,Medium vulnerable,Drought,Improving irrigation practices,Dust,TV,62.99246185,108.1152226,1.986277543
no-schooling,3,1,Wheat,yes,yes,Medium,90,Armyworms (Pest),No,800,Medium vulnerable,Medium,4000,Maize,Yes,Based on experience,Yes,90,PYRALE,1200,5000,Medium vulnerable,Dry,No,Maybe,Subsistence/domestic use,Yes,Salinity,No,Lack of machinery,Yes,Summer,Never,Medium vulnerable,Drought,Improving irrigation practices,Lower yield,TV,62.99246185,108.1152226,1.986277543
primary,3,10,Barley,yes,yes,Medium,90,Henbit (Weed),Yes,2900,Medium vulnerable,Medium,15000,Sorghum,Yes,Based on experience,Yes,90,PANICORIGE,3100,13000,Highly vulnerable,Dry,No,Yes,Selling in the market,Yes,Erosion,Yes(Rarely),Lack of machinery,Yes,Summer,Never,Medium vulnerable,Drought,Improving irrigation practices,Dust,TV,47.31912669,94.42613591,2.152072568
primary,3,2,Wheat,yes,yes,Medium,90,Shepherd's Purse (Weed),No,1100,Medium vulnerable,Medium,5700,Maize,Yes,Based on experience,Yes,90,PYRALE,1200,7000,Medium vulnerable,Dry,No,No,Selling in the market,Yes,Salinity,No,Lack of machinery,Yes,Summer,Never,Medium vulnerable,Drought,Improving irrigation practices,Dust,TV,61.71331124,108.1152226,1.986277543
no-schooling,6,15,Rye,yes,yes,Medium,100,Henbit (Weed),No,2500,Medium vulnerable,Medium,11000,Maize,Yes,Based on experience,Yes,100,POURPIER,1500,12000,Highly vulnerable,Dry,No,No,Selling in the market,Yes,Erosion,No,Lack of knowledge,No idea,Summer,Never,Medium vulnerable,Drought,Improving irrigation practices,Dust,From mosque,32.77465701,94.42613591,2.152072568
secondary,4,3,Lentil,yes,yes,Medium,90,Rust (Disease),No,2000,Medium vulnerable,Dry,8000,Maize,Yes,Based on experience,Yes,90,PYRALE,2000,8000,Medium vulnerable,Dry,No,Yes,Subsistence/domestic use,Yes,Salinity,No,No finance,Yes,Summer,Never,Medium vulnerable,Drought,Improving irrigation practices,Dust,TV,62.78511588,108.1152226,1.986277543
secondary,5,15,Barley,yes,yes,Medium,80,Henbit (Weed),Yes,3700,Medium vulnerable,Medium,19000,Maize,Yes,Based on crop water need,Yes,80,POURPIER,2500,20000,Medium vulnerable,Dry,No,Yes,Selling in the market,Yes,Erosion,Yes(Rarely),Lack of machinery,Yes,Summer,Sometimes,Medium vulnerable,Drought,Improving irrigation practices,Dust,Through apps,51.86187842,94.42613591,2.152072568
no-schooling,5,10,Wheat,yes,no,Medium,85,Powdery Mildew (Disease),No,3600,Medium vulnerable,Medium,17500,Sorghum,Yes,Based on crop water need,No,85,ACARIENS,3600,21500,Medium vulnerable,Medium,No,No,Selling in the market,Yes,Salinity,No,No finance,No idea,Winter,Never,Medium vulnerable,Heatwaves,Adjusting sowing date,Increased pests/diseases,Extension agents,39.51558004,104.8776955,1.943099611
no-schooling,3,4,Wheat,yes,yes,Medium,95,Blight (Disease),No,1200,Medium vulnerable,Medium,5000,Maize,Yes,Based on experience,Yes,95,PYRALE,1400,7000,Medium vulnerable,Dry,No,No,Subsistence/domestic use,Yes,Salinity,No,Lack of knowledge,Yes,Summer,Never,Medium vulnerable,Drought,Improving irrigation practices,Wilting,From mosque,61.71331124,108.1152226,1.986277543
primary,5,5,Fababean,yes,yes,Medium,90,Henbit (Weed),Yes,3000,Medium vulnerable,Medium,13500,Maize,Yes,Based on experience,Yes,90,PIGWEED,1800,13000,Medium vulnerable,Dry,No,No,Selling in the market,Yes,Erosion,No,Lack of knowledge,No,Summer,Never,Medium vulnerable,Drought,Improving irrigation practices,Dust,TV,52.34319946,94.42613591,2.152072568
primary,4,3,Wheat,yes,yes,Medium,95,Powdery Mildew (Disease),No,2000,Medium vulnerable,Dry,7500,Maize,Yes,Based on qualitative guess,Yes,95,PUNAISE,1500,6000,Medium vulnerable,Medium,No,Yes,Subsistence/domestic use,Yes,Salinity,No,Lack of machinery,Yes,Winter,Never,Medium vulnerable,Drought,Improving irrigation practices,Dust,Extension agents,62.08311848,108.1152226,1.986277543
secondary,3,20,Wheat,yes,yes,Medium,98,Shepherd's Purse (Weed),Yes,4900,Medium vulnerable,Medium,40000,Maize,Yes,Based on crop water need,Yes,98,POURPIER,2500,19500,Medium vulnerable,Dry,No,Yes,Selling in the market,Yes,Erosion,Yes(Rarely),Lack of machinery,Yes,Summer,Sometimes,highly vulnerable,Drought,Improving irrigation practices,Dust,Through apps,58.60490397,99.66686757,2.102433521
no-schooling,6,1,Wheat,yes,no,Medium,85,Powdery Mildew (Disease),No,2700,Medium vulnerable,Medium,18500,Maize,Yes,Based on crop water need,No,85,PYRALE,4500,21500,Medium vulnerable,Medium,No,No,Selling in the market,Yes,Salinity,No,No finance,No idea,Winter,Never,Medium vulnerable,Heatwaves,Adjusting sowing date,Increased pests/diseases,Radio,42.42232342,104.8776955,1.943099611
no-schooling,7,10,Rye,yes,yes,Medium,84,Henbit (Weed),No,2400,Medium vulnerable,Medium,12000,Maize,Yes,Based on experience,Yes,84,PIGWEED,1500,12000,Highly vulnerable,Medium,No,No,Selling in the market,Yes,Erosion,No,Lack of knowledge,No,Summer,Never,highly vulnerable,Drought,Improving irrigation practices,Dust,From mosque,40.13418549,98.19292266,2.156842442
primary,5,3,Barley,yes,yes,Medium,97,Rust (Disease),No,2100,Medium vulnerable,Medium,8000,Maize,Yes,Based on experience,Yes,97,PUNAISE,2100,8000,Medium vulnerable,Dry,No,No,Selling in the market,Yes,Salinity,No,No finance,Yes,Summer,Never,Medium vulnerable,Drought,Improving irrigation practices,Dust,TV,62.08311848,108.1152226,1.986277543
secondary,6,15,Wheat,yes,yes,Medium,90,Henbit (Weed),Yes,5000,Medium vulnerable,Medium,41000,Maize,Yes,Based on crop water need,Yes,90,POURPIER,2300,20000,Medium vulnerable,Dry,No,Yes,Selling in the market,Yes,Erosion,Yes(Rarely),Lack of machinery,Yes,Summer,Sometimes,Medium vulnerable,Drought,Improving irrigation practices,Dust,Through apps,49.27510954,98.19292266,2.156842442
primary,4,2,Lentil,yes,yes,Medium,96,Powdery Mildew (Disease),No,1600,Medium vulnerable,Medium,7000,Maize,Yes,Based on experience,Yes,96,PUNAISE,2000,5700,Medium vulnerable,Dry,No,No,Selling in the market,Yes,Salinity,No,Lack of machinery,Yes,Winter,Never,Medium vulnerable,Drought,Drought-resistant varieties,Dust,TV,62.76587248,108.1152226,1.986277543
no-schooling,6,1,Barley,yes,no,Medium,90,Powdery Mildew (Disease),No,3000,Medium vulnerable,Medium,21000,Sorghum,Yes,Based on crop water need,No,90,PUMAISE,2500,20500,Medium vulnerable,Medium,No,No,Selling in the market,Yes,Salinity,No,No finance,No idea,Winter,Never,Medium vulnerable,Heatwaves,Adjusting sowing date,Increased pests/diseases,Radio,42.42232342,104.8776955,1.943099611
secondary,6,5,Rye,yes,yes,Medium,84,Henbit (Weed),Yes,4500,Medium vulnerable,Medium,20000,Maize,Yes,Based on crop water need,Yes,84,HERBE A POUX,2500,18500,Highly vulnerable,Dry,No,Yes,Selling in the market,Yes,Erosion,Yes(Rarely),Lack of machinery,Yes,Summer,Sometimes,Medium vulnerable,Drought,Improving irrigation practices,Dust,TV,37.59729706,98.19292266,2.156842442
secondary,5,1,Lentil,yes,yes,Medium,100,Chickweed (Weed),No,5000,Medium vulnerable,Medium,30000,Maize,Yes,Based on experience,Yes,100,PUNAISE,4500,32000,Medium vulnerable,Dry,No,Yes,Subsistence/domestic use,Yes,Salinity,No,Lack of machinery,Yes,Summer,Sometimes,Medium vulnerable,Drought,Improving irrigation practices,Dust,From mosque,59.55820586,108.1152226,1.986277543
no-schooling,7,10,Wheat,yes,yes,Medium,94,Henbit (Weed),Yes,2800,Medium vulnerable,Medium,28000,Maize,Yes,Based on experience,Yes,94,POURPIER,1700,12500,Medium vulnerable,Dry,No,No,Selling in the market,Yes,Erosion,No,Lack of knowledge,No idea,Summer,Never,Medium vulnerable,Drought,Improving irrigation practices,Dust,From mosque,35.92171051,98.19292266,2.156842442
no-schooling,5,2,Fababean,yes,yes,Medium,100,Rust (Disease),No,1500,Medium vulnerable,Dry,7500,Maize,Yes,Based on experience,Yes,100,PYRALE,1700,8000,Medium vulnerable,Dry,No,No,Subsistence/domestic use,Yes,Salinity,No,Lack of machinery,Yes,Summer,Never,Medium vulnerable,Drought,Improving irrigation practices,Physical damage,TV,59.55820586,108.1152226,1.986277543
no-schooling,5,4,Wheat,yes,no,Medium,100,Powdery Mildew (Disease),No,2400,Medium vulnerable,Medium,17000,OIGNON,Yes,Based on crop water need,No,100,THRIPS,21000,110000,Medium vulnerable,Medium,No,No,Selling in the market,Yes,Sodicity,No,No finance,No idea,Winter,Never,Medium vulnerable,Heatwaves,Adjusting sowing date,Increased pests/diseases,Radio,43.75636313,101.4990033,1.948690519
primary,7,1,Fababean,yes,yes,Medium,100,Blight (Disease),No,1100,Medium vulnerable,Dry,7500,Maize,Yes,Based on experience,Yes,100,PYRALE,1500,8000,Medium vulnerable,Dry,No,No,Selling in the market,Yes,Salinity,No,Lack of machinery,Yes,Summer,Never,Medium vulnerable,Drought,Drought-resistant varieties,Lower yield,Newspaper,59.55820586,108.1152226,1.986277543
primary,5,2,Fababean,yes,yes,Medium,90,Henbit (Weed),Yes,1500,Medium vulnerable,Medium,13000,Sorghum,Yes,Based on experience,Yes,90,ANTHRANCOSE,3200,13000,Medium vulnerable,Dry,No,No,Subsistence/domestic use,Yes,Erosion,No,Lack of knowledge,No idea,Summer,Never,Medium vulnerable,Drought,Improving irrigation practices,Dust,TV,46.27662384,94.42613591,2.152072568
no-schooling,3,1,Wheat,yes,yes,Medium,100,Armyworms (Pest),No,900,Medium vulnerable,Medium,5000,Maize,Yes,Based on experience,Yes,100,PYRALE,1500,7000,Medium vulnerable,Dry,No,Yes,Selling in the market,Yes,Salinity,No,Lack of knowledge,Yes,Winter,Never,Medium vulnerable,Drought,Improving irrigation practices,Dust,TV,61.44729117,108.1152226,1.986277543
primary,5,10,Rye,yes,yes,Medium,86,Henbit (Weed),Yes,2700,Medium vulnerable,Medium,13000,Maize,Yes,Based on experience,Yes,86,POURPIER,1800,14500,Medium vulnerable,Dry,No,Maybe,Selling in the market,Yes,Erosion,Yes(Rarely),Lack of machinery,Maybe,Summer,Never,Medium vulnerable,Drought,Improving irrigation practices,Dust,TV,45.8815557,94.42613591,2.152072568
primary,5,4,Wheat,yes,yes,Medium,100,Powdery Mildew (Disease),No,2000,Medium vulnerable,Medium,13500,Sorghum,Yes,Based on crop water need,No,100,PYRALE,2800,21500,Medium vulnerable,Medium,No,No,Selling in the market,Yes,Salinity,No,No finance,No idea,Winter,Never,Medium vulnerable,Heatwaves,Adjusting sowing date,Increased pests/diseases,Radio,40.97797134,101.4990033,1.948690519
primary,3,3,Wheat,yes,yes,Medium,88,Chickweed (Weed),No,1000,Medium vulnerable,Medium,6000,Maize,Yes,Based on experience,Yes,88,PYRALE,1200,7500,Medium vulnerable,Dry,No,No,Subsistence/domestic use,Yes,Salinity,No,No finance,Yes,Winter,Often,Medium vulnerable,Drought,Drought-resistant varieties,Dust,Newspaper,59.32381592,108.1152226,1.986277543
secondary,6,10,Barley,yes,yes,Medium,88,Henbit (Weed),Yes,4200,Medium vulnerable,Medium,17500,Sorghum,Yes,Based on crop water need,Yes,88,JOHNSON GASS,3900,15500,Medium vulnerable,Dry,Yes (Rarely),Yes,Selling in the market,Yes,Erosion,Yes(Rarely),Lack of machinery,Yes,Summer,Sometimes,Medium vulnerable,Drought,Improving irrigation practices,Dust,TV,38.01043347,94.42613591,2.152072568
secondary,2,2,Fababean,yes,yes,Medium,100,Henbit (Weed),Yes,1800,Medium vulnerable,Medium,19000,Maize,Yes,Based on crop water need,Yes,100,PIGWEED,2600,20000,Highly vulnerable,Dry,No,Yes,Selling in the market,Yes,Erosion,Yes(Rarely),Lack of machinery,Yes,Summer,Sometimes,highly vulnerable,Drought,Improving irrigation practices,Dust,Through apps,15.15340915,94.42613591,2.152072568
primary,3,3,Wheat,yes,yes,Medium,90,Leaf miners (Pest),No,1200,Medium vulnerable,Medium,8000,Maize,Yes,Based on crop water need,Yes,90,PUNAISE,2000,7000,Medium vulnerable,Medium,No,Maybe,Subsistence/domestic use,Yes,Salinity,No,No finance,Yes,Summer,Never,Medium vulnerable,Drought,Improving irrigation practices,Dust,TV,59.32381592,108.1152226,1.986277543
primary,6,1,Fababean,yes,yes,Medium,95,Henbit (Weed),Yes,1400,Medium vulnerable,Medium,12000,Maize,Yes,Based on experience,Yes,95,PANICORIGE,1700,13000,Medium vulnerable,Dry,No,No,Selling in the market,Yes,Erosion,No,Lack of knowledge,No idea,Summer,Never,Medium vulnerable,Drought,Improving irrigation practices,Dust,TV,31.95528276,94.42613591,2.152072568
no-schooling,3,1,Wheat,yes,yes,Medium,100,Armyworms (Pest),No,800,Medium vulnerable,Medium,5000,Maize,Yes,Based on experience,Yes,100,PYRALE,2000,6000,Medium vulnerable,Dry,No,Yes,Subsistence/domestic use,Yes,Salinity,No,Lack of knowledge,Yes,Summer,Never,Medium vulnerable,Drought,Improving irrigation practices,Increased pests/diseases,From mosque,59.71334142,108.1152226,1.986277543
secondary,7,20,Wheat,yes,yes,Medium,90,Henbit (Weed),Yes,5100,Medium vulnerable,Medium,40000,Maize,Yes,Based on crop water need,Yes,90,HERBE A POUX,2400,20000,Medium vulnerable,Dry,Yes (Rarely),Yes,Selling in the market,Yes,Erosion,Yes(Rarely),Lack of machinery,Yes,Summer,Sometimes,Medium vulnerable,Drought,Improving irrigation practices,Dust,Through apps,56.29484886,94.42613591,2.152072568
no-schooling,6,2,Wheat,yes,no,Medium,90,Powdery Mildew (Disease),No,4000,Medium vulnerable,Medium,18000,Sorghum,Yes,Based on crop water need,No,90,ACARIENS,3200,22000,Medium vulnerable,Medium,No,No,Selling in the market,Yes,Salinity,No,No finance,No idea,Winter,Never,Medium vulnerable,Heatwaves,Adjusting sowing date,Increased pests/diseases,Radio,42.60667741,101.4990033,1.948690519
secondary,2,1,Lentil,yes,yes,Medium,100,Powdery Mildew (Disease),No,3000,Medium vulnerable,Medium,11000,Maize,Yes,Based on experience,Yes,100,PYRALE,3500,35000,Medium vulnerable,Medium,No,Yes,Subsistence/domestic use,Yes,Salinity,Yes(Rarely),Lack of machinery,Yes,Summer,Never,Medium vulnerable,Drought,Improving irrigation practices,Dust,Through apps,59.71334142,108.1152226,1.986277543
secondary,5,15,Wheat,yes,yes,High,100,Henbit (Weed),Yes,5100,Medium vulnerable,Medium,43000,Maize,Yes,Based on crop water need,Yes,100,GAILLET GAITTERON,2500,20000,Medium vulnerable,Dry,No,Yes,Selling in the market,Yes,Erosion,Yes(Rarely),Lack of machinery,Yes,Summer,Sometimes,highly vulnerable,Drought,Improving irrigation practices,Dust,Through apps,41.62597042,96.53818984,2.113445294
primary,2,1,Wheat,yes,yes,Medium,100,Blight (Disease),No,2000,Medium vulnerable,Medium,7000,Maize,Yes,Based on crop water need,Yes,100,PUNAISE,1200,7500,Medium vulnerable,Dry,No,Yes,Subsistence/domestic use,Yes,Salinity,No,Lack of machinery,Yes,Winter,Never,Medium vulnerable,Drought,Improving irrigation practices,Dust,TV,50.01825311,108.1152226,1.986277543
primary,6,15,Fababean,yes,yes,Medium,98,Henbit (Weed),Yes,1500,Medium vulnerable,Medium,13000,Maize,Yes,Based on experience,Yes,98,HERBE A POUX,1800,15000,Medium vulnerable,Dry,Yes (Rarely),Yes,Subsistence/domestic use,Yes,Erosion,Yes(Rarely),Lack of machinery,Yes,Summer,Never,Medium vulnerable,Drought,Improving irrigation practices,Dust,TV,52.30200242,94.42613591,2.152072568
secondary,4,1,Barley,yes,no,Medium,90,Powdery Mildew (Disease),No,3400,Medium vulnerable,Medium,15500,Sorghum,Yes,Based on crop water need,No,90,PUMAISE,3200,21000,Medium vulnerable,Medium,No,No,Selling in the market,Yes,Salinity,No,No finance,No idea,Winter,Never,Medium vulnerable,Heatwaves,Adjusting sowing date,Increased pests/diseases,Radio,44.8011531,101.4990033,1.948690519
primary,5,1,Wheat,yes,yes,Medium,95,Rust (Disease),No,1700,Medium vulnerable,Medium,8400,Maize,Yes,Based on experience,Yes,95,PUNAISE,1900,8500,Medium vulnerable,Dry,No,Yes,Subsistence/domestic use,Yes,Salinity,No,Lack of machinery,Yes,Winter,Never,Medium vulnerable,Drought,Drought-resistant varieties,Dust,TV,59.71334142,108.1152226,1.986277543
no-schooling,6,4,Rye,yes,yes,Medium,90,Henbit (Weed),Yes,2400,Medium vulnerable,Medium,12500,Sorghum,Yes,Based on experience,Yes,90,PAINICORIGE,1500,13000,Medium vulnerable,Dry,Yes (Rarely),No,Subsistence/domestic use,Yes,Erosion,No,Lack of knowledge,No idea,Summer,Sometimes,Medium vulnerable,Drought,Improving irrigation practices,Dust,From mosque,36.53404642,94.42613591,2.152072568
primary,2,2,Wheat,yes,yes,Medium,99,Chickweed (Weed),No,1200,Medium vulnerable,Medium,7000,Maize,Yes,Based on crop water need,Yes,99,PYRALE,1300,8000,Medium vulnerable,Medium,No,No,Subsistence/domestic use,Yes,Salinity,No,No finance,Yes,Summer,Never,Low vulnerable,Drought,Improving irrigation practices,Dust,TV,52.20713386,108.1152226,1.986277543
secondary,4,10,Wheat,yes,yes,Medium,110,Henbit (Weed),Yes,4900,Medium vulnerable,Medium,40000,Maize,Yes,Based on crop water need,Yes,110,CHENOPODE BLANC,2500,20000,Medium vulnerable,Dry,Yes (Rarely),Yes,Selling in the market,Yes,Erosion,Yes(Rarely),Lack of machinery,Yes,Summer,Sometimes,Medium vulnerable,Drought,Improving irrigation practices,Dust,TV,45.09923051,98.19292266,2.156842442
no-schooling,6,3,Wheat,yes,no,Medium,85,Powdery Mildew (Disease),No,4000,Medium vulnerable,Medium,21000,Sorghum,Yes,Based on crop water need,No,85,ACARIENS,2800,19000,Medium vulnerable,Medium,No,No,Selling in the market,Yes,Salinity,No,No finance,No idea,Winter,Sometimes,Medium vulnerable,Heatwaves,Adjusting sowing date,Increased pests/diseases,Radio,44.8011531,101.4990033,1.948690519
no-schooling,7,5,Fababean,yes,yes,Medium,87,Henbit (Weed),Yes,1300,Medium vulnerable,Medium,11000,Maize,Yes,Based on experience,Yes,87,PIGWEED,1500,12000,Medium vulnerable,Dry,No,No,Subsistence/domestic use,Yes,Nothing,No,Lack of knowledge,No,Summer,Sometimes,Medium vulnerable,Drought,Improving irrigation practices,Dust,From mosque,44.57159409,94.42613591,2.152072568
